0,1,2,3
107.06,360.67,57.0,95.48
107.06,436.67,57.0,94.39
107.06,314.67,57.0,97.06
6.16,130.0,57.0,93.93
6.16,387.5,57.0,84.57
6.16,705.83,57.0,78.95
6.16,237.5,57.0,88.27
0.0,148.33,57.0,87.46
0.0,555.0,57.0,70.34
0.0,693.33,57.0,58.88
0.0,468.33,57.0,77.03
0.0,131.67,57.0,80.9
0.0,331.67,57.0,56.31
0.0,625.83,57.0,40.06
0.0,1260.0,57.0,53.74
0.0,148.33,57.0,74.43
0.0,328.33,57.0,45.51
0.0,482.5,635.0,29.58
0.0,1247.5,1446.0,29.71
0.0,140.83,57.0,67.83
0.0,229.17,57.0,35.66
0.0,451.67,602.0,28.98
0.0,1377.5,1584.0,29.11
0.0,130.83,57.0,61.35
0.0,256.67,396.0,29.71
0.0,459.17,610.0,28.38
0.0,409.17,557.0,28.51
0.0,130.0,57.0,55.35
0.0,305.83,448.0,29.11
0.0,570.0,728.0,27.78
0.0,237.5,375.0,27.91
0.0,130.0,57.0,49.35
0.0,255.0,394.0,28.51
0.0,561.67,719.0,27.18
0.0,257.5,396.0,27.31
0.0,130.0,57.0,43.35
0.0,195.0,330.0,27.91
0.0,413.33,562.0,26.58
0.0,287.5,428.0,26.71
0.0,130.0,57.0,37.35
0.0,300.0,442.0,27.31
0.0,372.5,518.0,25.98
0.0,253.33,392.0,26.11
0.0,130.0,57.0,31.35
0.0,218.33,355.0,26.71
0.0,360.83,506.0,25.38
0.0,488.33,641.0,25.51
0.0,130.0,261.0,29.49
0.0,255.83,395.0,26.11
0.0,149.17,282.0,24.78
0.0,253.33,392.0,24.91
0.0,139.17,271.0,28.89
0.0,305.83,448.0,25.51
0.0,111.67,242.0,24.18
0.0,275.83,416.0,24.31
28.78,149.17,282.0,28.7
28.78,438.33,588.0,25.31
28.78,110.0,240.0,23.98
28.78,481.67,634.0,24.11
328.22,159.17,292.0,31.75
328.22,321.67,464.0,28.35
328.22,348.33,493.0,27.04
328.22,243.33,381.0,27.16
896.95,132.5,57.0,40.32
896.95,374.17,57.0,36.76
896.95,150.0,57.0,37.46
896.95,238.33,57.0,37.26
1643.51,130.0,57.0,60.54
1643.51,618.33,57.0,48.41
1643.51,185.0,57.0,57.01
1643.51,295.0,57.0,54.3
1811.77,139.17,57.0,90.74
1811.77,685.83,57.0,66.09
1811.77,180.83,57.0,86.0
1811.77,190.0,57.0,81.79
